id,comentario_original,comentario_limpo,estrelas,sentimento
11,"Ele fica desligando e ligando sozinho enquanto eu leio, como se tivesse fechado a capa de proteção.Tenho um kindle versão mais antiga e ele não faz isso.Eu que tenho TDH, isso atrapalha e muito a minha leitura pois me perco na história.Não acredito que isso aconteça com todos os kindle's.",ele fica desligando e ligando sozinho enquanto eu leio como se tivesse fechado a capa de proteçãotenho um kindle versão mais antiga e ele não faz issoeu que tenho tdh isso atrapalha e muito a minha leitura pois me perco na histórianão acredito que isso aconteça com todos os kindles,2,negativo
12,"A bateria não é tudo isso não, no uso de umas 2 hrs por dia l,ela não dura 1 semana",a bateria não é tudo isso não no uso de umas hrs por dia lela não dura semana,3,neutro
13,Tá com um ícone de gota há uma semana e não carrega.,tá com um ícone de gota há uma semana e não carrega,3,neutro
14,"o produto é ótimo, mas na venda dizia 3 menses do unlimited grátis, mas liberou apenas 1 mês e não estou conseguindo suporte.",o produto é ótimo mas na venda dizia menses do unlimited grátis mas liberou apenas mês e não estou conseguindo suporte,1,negativo
15,Produto com defeito. Nao carrega,produto com defeito nao carrega,1,negativo
16,"O produto é ótimo, porém a tela risca com muita facilidade e não tem suporte no brasil que faça a manutenção. A amazon também não da nenhum suporte quanto a garantia do produto.",o produto é ótimo porém a tela risca com muita facilidade e não tem suporte no brasil que faça a manutenção a amazon também não da nenhum suporte quanto a garantia do produto,3,neutro
17,"O Produto deu defeito com menos de 3 meses de uso, travou a tela e parou de funcionar o touch",o produto deu defeito com menos de meses de uso travou a tela e parou de funcionar o touch,1,negativo
18,"Comprei o Kindle para a minha esposa, quando ela ligou e colocou na conta dela, ficou assim a imagem, ela sempre usa com capinha(capinha sem ser magnética) e nunca caiu no chão, eu gostaria de saber se tem como pedir reembolso do produto, pois vi vídeos do mesmo Kindle e a tele não está desse jeito",comprei o kindle para a minha esposa quando ela ligou e colocou na conta dela ficou assim a imagem ela sempre usa com capinhacapinha sem ser magnética e nunca caiu no chão eu gostaria de saber se tem como pedir reembolso do produto pois vi vídeos do mesmo kindle e a tele não está desse jeito,2,negativo
19,"Comprei em novembro e ele parou de carregar. Carrega por um segundo e para. Tentei reiniciar, trocar o cabo. Nada funciona.",comprei em novembro e ele parou de carregar carrega por um segundo e para tentei reiniciar trocar o cabo nada funciona,1,negativo
20,Meu produto veio aberto e sem o cabo USB-c,meu produto veio aberto e sem o cabo usbc,1,negativo
